"barrier_poly_id","country","area_km2","n_species_supported","Beaver","Bison","Brown Bear","Elk","Lynx","Pine Marten","Wild Boar","Wildcat"
792933,"England",430.218598045866,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
798925,"England",305.082498334255,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
798939,"England",196.359122909797,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
803901,"England",2052.9272606251,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
809740,"England",106.851759886269,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
809751,"England",37.9987704535841,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
810738,"England",78.6932969925304,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
812987,"England",24.0986306458597,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
813071,"England",154.726750452242,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
816770,"England",49.5806215884589,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
823430,"England",76.7379959843022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
823720,"England",104.151049845858,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
829187,"England",139.053436305673,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
845380,"England",141.503339809561,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
846554,"England",863.956303955286,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
848133,"England",629.552316760359,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
848255,"England",137.303490908822,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
848256,"England",1244.49287680707,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
861313,"England",970.344245215149,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
868150,"England",85.1840681777718,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
870968,"England",195.668055234895,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
872658,"England",17.186818461157,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
872758,"England",73.2159980341067,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
882584,"England",111.946764535871,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
899243,"England",1284.77128149139,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
903866,"England",221.464828939387,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
